"region";"utbildningsnivå";"ålder";"kön";"2018"
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"16-24 år";"män";23
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"16-24 år";"kvinnor";16
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"25-34 år";"män";78
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"25-34 år";"kvinnor";63
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"35-44 år";"män";109
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"35-44 år";"kvinnor";102
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"45-54 år";"män";100
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"45-54 år";"kvinnor";101
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"55-64 år";"män";73
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"55-64 år";"kvinnor";111
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"65-74 år";"män";234
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"65-74 år";"kvinnor";200
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"75-84 år";"män";271
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"75-84 år";"kvinnor";334
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"85-94 år";"män";91
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"85-94 år";"kvinnor";158
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"95+ år";"män";5
"0114 Upplands Väsby";"förgymnasial utbildning kortare än 9 år";"95+ år";"kvinnor";23
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"16-24 år";"män";1025
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"16-24 år";"kvinnor";882
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"25-34 år";"män";373
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"25-34 år";"kvinnor";198
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"35-44 år";"män";347
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"35-44 år";"kvinnor";198
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"45-54 år";"män";372
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"45-54 år";"kvinnor";201
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"55-64 år";"män";355
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"55-64 år";"kvinnor";203
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"65-74 år";"män";267
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"65-74 år";"kvinnor";254
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"75-84 år";"män";75
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"75-84 år";"kvinnor";146
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"85-94 år";"män";12
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"85-94 år";"kvinnor";28
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"95+ år";"män";0
"0114 Upplands Väsby";"förgymnasial utbildning, 9 (10) år";"95+ år";"kvinnor";3
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"16-24 år";"män";98
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"16-24 år";"kvinnor";84
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"25-34 år";"män";318
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"25-34 år";"kvinnor";279
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"35-44 år";"män";488
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"35-44 år";"kvinnor";395
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"45-54 år";"män";1134
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"45-54 år";"kvinnor";861
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"55-64 år";"män";782
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"55-64 år";"kvinnor";806
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"65-74 år";"män";479
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"65-74 år";"kvinnor";817
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"75-84 år";"män";236
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"75-84 år";"kvinnor";477
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"85-94 år";"män";45
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"85-94 år";"kvinnor";129
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"95+ år";"män";5
"0114 Upplands Väsby";"gymnasial utbildning, högst 2 år";"95+ år";"kvinnor";9
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"16-24 år";"män";856
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"16-24 år";"kvinnor";772
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"25-34 år";"män";1165
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"25-34 år";"kvinnor";962
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"35-44 år";"män";947
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"35-44 år";"kvinnor";814
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"45-54 år";"män";539
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"45-54 år";"kvinnor";684
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"55-64 år";"män";350
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"55-64 år";"kvinnor";365
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"65-74 år";"män";386
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"65-74 år";"kvinnor";258
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"75-84 år";"män";248
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"75-84 år";"kvinnor";104
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"85-94 år";"män";53
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"85-94 år";"kvinnor";18
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"95+ år";"män";2
"0114 Upplands Väsby";"gymnasial utbildning, 3 år";"95+ år";"kvinnor";1
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"16-24 år";"män";167
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"16-24 år";"kvinnor";226
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"25-34 år";"män";557
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"25-34 år";"kvinnor";583
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"35-44 år";"män";450
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"35-44 år";"kvinnor";452
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"45-54 år";"män";555
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"45-54 år";"kvinnor";469
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"55-64 år";"män";367
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"55-64 år";"kvinnor";352
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"65-74 år";"män";267
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"65-74 år";"kvinnor";373
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"75-84 år";"män";127
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"75-84 år";"kvinnor";152
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"85-94 år";"män";18
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"85-94 år";"kvinnor";29
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"95+ år";"män";2
"0114 Upplands Väsby";"eftergymnasial utbildning, mindre än 3 år";"95+ år";"kvinnor";3
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"16-24 år";"män";42
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"16-24 år";"kvinnor";81
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"25-34 år";"män";560
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"25-34 år";"kvinnor";913
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"35-44 år";"män";768
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"35-44 år";"kvinnor";1082
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"45-54 år";"män";511
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"45-54 år";"kvinnor";806
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"55-64 år";"män";346
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"55-64 år";"kvinnor";405
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"65-74 år";"män";291
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"65-74 år";"kvinnor";391
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"75-84 år";"män";164
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"75-84 år";"kvinnor";199
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"85-94 år";"män";30
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"85-94 år";"kvinnor";32
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"95+ år";"män";4
"0114 Upplands Väsby";"eftergymnasial utbildning, 3 år eller mer";"95+ år";"kvinnor";1
"0114 Upplands Väsby";"forskarutbildning";"16-24 år";"män";0
"0114 Upplands Väsby";"forskarutbildning";"16-24 år";"kvinnor";0
"0114 Upplands Väsby";"forskarutbildning";"25-34 år";"män";15
"0114 Upplands Väsby";"forskarutbildning";"25-34 år";"kvinnor";17
"0114 Upplands Väsby";"forskarutbildning";"35-44 år";"män";51
"0114 Upplands Väsby";"forskarutbildning";"35-44 år";"kvinnor";43
"0114 Upplands Väsby";"forskarutbildning";"45-54 år";"män";39
"0114 Upplands Väsby";"forskarutbildning";"45-54 år";"kvinnor";31
"0114 Upplands Väsby";"forskarutbildning";"55-64 år";"män";26
"0114 Upplands Väsby";"forskarutbildning";"55-64 år";"kvinnor";9
"0114 Upplands Väsby";"forskarutbildning";"65-74 år";"män";35
"0114 Upplands Väsby";"forskarutbildning";"65-74 år";"kvinnor";8
"0114 Upplands Väsby";"forskarutbildning";"75-84 år";"män";17
"0114 Upplands Väsby";"forskarutbildning";"75-84 år";"kvinnor";6
"0114 Upplands Väsby";"forskarutbildning";"85-94 år";"män";2
"0114 Upplands Väsby";"forskarutbildning";"85-94 år";"kvinnor";0
"0114 Upplands Väsby";"forskarutbildning";"95+ år";"män";0
"0114 Upplands Väsby";"forskarutbildning";"95+ år";"kvinnor";0
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"16-24 år";"män";215
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"16-24 år";"kvinnor";134
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"25-34 år";"män";167
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"25-34 år";"kvinnor";118
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"35-44 år";"män";172
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"35-44 år";"kvinnor";75
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"45-54 år";"män";79
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"45-54 år";"kvinnor";34
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"55-64 år";"män";28
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"55-64 år";"kvinnor";19
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"65-74 år";"män";24
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"65-74 år";"kvinnor";26
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"75-84 år";"män";15
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"75-84 år";"kvinnor";32
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"85-94 år";"män";9
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"85-94 år";"kvinnor";24
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"95+ år";"män";0
"0114 Upplands Väsby";"uppgift om utbildningsnivå saknas";"95+ år";"kvinnor";5
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"16-24 år";"män";25
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"16-24 år";"kvinnor";8
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"25-34 år";"män";16
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"25-34 år";"kvinnor";11
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"35-44 år";"män";25
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"35-44 år";"kvinnor";32
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"45-54 år";"män";9
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"45-54 år";"kvinnor";37
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"55-64 år";"män";34
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"55-64 år";"kvinnor";33
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"65-74 år";"män";121
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"65-74 år";"kvinnor";96
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"75-84 år";"män";189
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"75-84 år";"kvinnor";164
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"85-94 år";"män";58
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"85-94 år";"kvinnor";111
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"95+ år";"män";4
"0115 Vallentuna";"förgymnasial utbildning kortare än 9 år";"95+ år";"kvinnor";9
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"16-24 år";"män";775
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"16-24 år";"kvinnor";703
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"25-34 år";"män";195
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"25-34 år";"kvinnor";81
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"35-44 år";"män";174
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"35-44 år";"kvinnor";116
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"45-54 år";"män";207
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"45-54 år";"kvinnor";123
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"55-64 år";"män";292
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"55-64 år";"kvinnor";158
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"65-74 år";"män";165
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"65-74 år";"kvinnor";139
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"75-84 år";"män";38
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"75-84 år";"kvinnor";81
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"85-94 år";"män";4
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"85-94 år";"kvinnor";37
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"95+ år";"män";0
"0115 Vallentuna";"förgymnasial utbildning, 9 (10) år";"95+ år";"kvinnor";6
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"16-24 år";"män";28
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"16-24 år";"kvinnor";35
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"25-34 år";"män";91
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"25-34 år";"kvinnor";100
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"35-44 år";"män";210
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"35-44 år";"kvinnor";191
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"45-54 år";"män";860
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"45-54 år";"kvinnor";634
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"55-64 år";"män";593
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"55-64 år";"kvinnor";550
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"65-74 år";"män";340
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"65-74 år";"kvinnor";522
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"75-84 år";"män";170
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"75-84 år";"kvinnor";337
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"85-94 år";"män";28
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"85-94 år";"kvinnor";81
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"95+ år";"män";0
"0115 Vallentuna";"gymnasial utbildning, högst 2 år";"95+ år";"kvinnor";7
"0115 Vallentuna";"gymnasial utbildning, 3 år";"16-24 år";"män";747
"0115 Vallentuna";"gymnasial utbildning, 3 år";"16-24 år";"kvinnor";595
"0115 Vallentuna";"gymnasial utbildning, 3 år";"25-34 år";"män";784
"0115 Vallentuna";"gymnasial utbildning, 3 år";"25-34 år";"kvinnor";606
"0115 Vallentuna";"gymnasial utbildning, 3 år";"35-44 år";"män";800
"0115 Vallentuna";"gymnasial utbildning, 3 år";"35-44 år";"kvinnor";586
"0115 Vallentuna";"gymnasial utbildning, 3 år";"45-54 år";"män";385
"0115 Vallentuna";"gymnasial utbildning, 3 år";"45-54 år";"kvinnor";515
"0115 Vallentuna";"gymnasial utbildning, 3 år";"55-64 år";"män";263
"0115 Vallentuna";"gymnasial utbildning, 3 år";"55-64 år";"kvinnor";271
"0115 Vallentuna";"gymnasial utbildning, 3 år";"65-74 år";"män";278
"0115 Vallentuna";"gymnasial utbildning, 3 år";"65-74 år";"kvinnor";176
"0115 Vallentuna";"gymnasial utbildning, 3 år";"75-84 år";"män";201
"0115 Vallentuna";"gymnasial utbildning, 3 år";"75-84 år";"kvinnor";90
"0115 Vallentuna";"gymnasial utbildning, 3 år";"85-94 år";"män";36
"0115 Vallentuna";"gymnasial utbildning, 3 år";"85-94 år";"kvinnor";17
"0115 Vallentuna";"gymnasial utbildning, 3 år";"95+ år";"män";1
"0115 Vallentuna";"gymnasial utbildning, 3 år";"95+ år";"kvinnor";1
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"16-24 år";"män";119
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"16-24 år";"kvinnor";137
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"25-34 år";"män";300
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"25-34 år";"kvinnor";327
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"35-44 år";"män";315
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"35-44 år";"kvinnor";322
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"45-54 år";"män";505
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"45-54 år";"kvinnor";438
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"55-64 år";"män";288
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"55-64 år";"kvinnor";321
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"65-74 år";"män";209
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"65-74 år";"kvinnor";249
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"75-84 år";"män";94
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"75-84 år";"kvinnor";134
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"85-94 år";"män";20
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"85-94 år";"kvinnor";26
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"95+ år";"män";0
"0115 Vallentuna";"eftergymnasial utbildning, mindre än 3 år";"95+ år";"kvinnor";1
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"16-24 år";"män";32
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"16-24 år";"kvinnor";39
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"25-34 år";"män";269
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"25-34 år";"kvinnor";524
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"35-44 år";"män";666
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"35-44 år";"kvinnor";1103
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"45-54 år";"män";581
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"45-54 år";"kvinnor";813
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"55-64 år";"män";309
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"55-64 år";"kvinnor";334
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"65-74 år";"män";198
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"65-74 år";"kvinnor";277
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"75-84 år";"män";139
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"75-84 år";"kvinnor";185
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"85-94 år";"män";28
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"85-94 år";"kvinnor";43
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"95+ år";"män";0
"0115 Vallentuna";"eftergymnasial utbildning, 3 år eller mer";"95+ år";"kvinnor";0
"0115 Vallentuna";"forskarutbildning";"16-24 år";"män";0
"0115 Vallentuna";"forskarutbildning";"16-24 år";"kvinnor";0
"0115 Vallentuna";"forskarutbildning";"25-34 år";"män";3
"0115 Vallentuna";"forskarutbildning";"25-34 år";"kvinnor";5
"0115 Vallentuna";"forskarutbildning";"35-44 år";"män";47
"0115 Vallentuna";"forskarutbildning";"35-44 år";"kvinnor";45
"0115 Vallentuna";"forskarutbildning";"45-54 år";"män";69
"0115 Vallentuna";"forskarutbildning";"45-54 år";"kvinnor";53
"0115 Vallentuna";"forskarutbildning";"55-64 år";"män";47
"0115 Vallentuna";"forskarutbildning";"55-64 år";"kvinnor";17
"0115 Vallentuna";"forskarutbildning";"65-74 år";"män";22
"0115 Vallentuna";"forskarutbildning";"65-74 år";"kvinnor";4
"0115 Vallentuna";"forskarutbildning";"75-84 år";"män";33
"0115 Vallentuna";"forskarutbildning";"75-84 år";"kvinnor";8
"0115 Vallentuna";"forskarutbildning";"85-94 år";"män";5
"0115 Vallentuna";"forskarutbildning";"85-94 år";"kvinnor";2
"0115 Vallentuna";"forskarutbildning";"95+ år";"män";0
"0115 Vallentuna";"forskarutbildning";"95+ år";"kvinnor";0
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"16-24 år";"män";105
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"16-24 år";"kvinnor";71
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"25-34 år";"män";108
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"25-34 år";"kvinnor";48
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"35-44 år";"män";108
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"35-44 år";"kvinnor";37
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"45-54 år";"män";54
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"45-54 år";"kvinnor";19
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"55-64 år";"män";15
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"55-64 år";"kvinnor";16
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"65-74 år";"män";8
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"65-74 år";"kvinnor";16
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"75-84 år";"män";7
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"75-84 år";"kvinnor";3
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"85-94 år";"män";5
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"85-94 år";"kvinnor";6
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"95+ år";"män";3
"0115 Vallentuna";"uppgift om utbildningsnivå saknas";"95+ år";"kvinnor";4
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"16-24 år";"män";11
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"16-24 år";"kvinnor";12
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"25-34 år";"män";32
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"25-34 år";"kvinnor";26
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"35-44 år";"män";45
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"35-44 år";"kvinnor";50
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"45-54 år";"män";31
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"45-54 år";"kvinnor";32
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"55-64 år";"män";25
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"55-64 år";"kvinnor";28
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"65-74 år";"män";141
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"65-74 år";"kvinnor";109
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"75-84 år";"män";223
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"75-84 år";"kvinnor";217
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"85-94 år";"män";64
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"85-94 år";"kvinnor";131
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"95+ år";"män";4
"0117 Österåker";"förgymnasial utbildning kortare än 9 år";"95+ år";"kvinnor";18
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"16-24 år";"män";1019
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"16-24 år";"kvinnor";916
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"25-34 år";"män";230
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"25-34 år";"kvinnor";132
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"35-44 år";"män";269
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"35-44 år";"kvinnor";136
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"45-54 år";"män";287
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"45-54 år";"kvinnor";177
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"55-64 år";"män";349
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"55-64 år";"kvinnor";181
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"65-74 år";"män";328
"0117 Österåker";"förgymnasial utbildning, 9 (10) år";"65-74 år";"kvinnor";279
