1980 Västerås;472.2
1981 Sala;409.5
1982 Fagersta;384.7
1983 Köping;406.5
1984 Arboga;407.3
2021 Vansbro;372.6
2023 Malung-Sälen;397.4
2026 Gagnef;437.4
2029 Leksand;441.7
2031 Rättvik;401.1
2034 Orsa;372.4
2039 Älvdalen;378.9
2061 Smedjebacken;408.4
2062 Mora;416.6
2080 Falun;446.9
2081 Borlänge;405.4
2082 Säter;429.1
2083 Hedemora;390.8
2084 Avesta;392.1
2085 Ludvika;382
2101 Ockelbo;371.6
2104 Hofors;388.8
2121 Ovanåker;378.1
2132 Nordanstig;379.7
2161 Ljusdal;380.6
2180 Gävle;429.4
2181 Sandviken;409.7
2182 Söderhamn;381.4
2183 Bollnäs;379.1
2184 Hudiksvall;412.6
2260 Ånge;367.2
2262 Timrå;421.6
2280 Härnösand;380.7
2281 Sundsvall;439
2282 Kramfors;367.2
2283 Sollefteå;359.6
2284 Örnsköldsvik;438.4
2303 Ragunda;350
2305 Bräcke;362
2309 Krokom;460.2
2313 Strömsund;354
2321 Åre;438.2
2326 Berg;372.1
2361 Härjedalen;384.6
2380 Östersund;413.6
2401 Nordmaling;404.7
2403 Bjurholm;392.6
2404 Vindeln;395.3
2409 Robertsfors;407.4
2417 Norsjö;370.9
2418 Malå;367.3
2421 Storuman;369.7
2422 Sorsele;368.2
2425 Dorotea;338.7
2460 Vännäs;416.9
2462 Vilhelmina;355.3
2463 Åsele;350.9
2480 Umeå;432.9
2481 Lycksele;387.5
2482 Skellefteå;427.5
2505 Arvidsjaur;373
2506 Arjeplog;381.9
2510 Jokkmokk;385.1
2513 Överkalix;362.4
2514 Kalix;395.7
2518 Övertorneå;374.8
2521 Pajala;392.8
2523 Gällivare;447
2560 Älvsbyn;383.6
2580 Luleå;430.1
2581 Piteå;426
2582 Boden;405
2583 Haparanda;342.9
2584 Kiruna;456
