"1452 Tranemo";"totalt";11874
"1460 Bengtsfors";"totalt";9846
"1461 Mellerud";"totalt";9354
"1462 Lilla Edet";"totalt";14046
"1463 Mark";"totalt";34781
"1465 Svenljunga";"totalt";10683
"1466 Herrljunga";"totalt";9494
"1470 Vara";"totalt";15952
"1471 Götene";"totalt";13232
"1472 Tibro";"totalt";11168
"1473 Töreboda";"totalt";9312
"1480 Göteborg";"totalt";571868
"1481 Mölndal";"totalt";68152
"1482 Kungälv";"totalt";45086
"1484 Lysekil";"totalt";14611
"1485 Uddevalla";"totalt";56259
"1486 Strömstad";"totalt";13253
"1487 Vänersborg";"totalt";39411
"1488 Trollhättan";"totalt";58728
"1489 Alingsås";"totalt";41070
"1490 Borås";"totalt";112178
"1491 Ulricehamn";"totalt";24445
"1492 Åmål";"totalt";12720
"1493 Mariestad";"totalt";24372
"1494 Lidköping";"totalt";39879
"1495 Skara";"totalt";18829
"1496 Skövde";"totalt";55729
"1497 Hjo";"totalt";9176
"1498 Tidaholm";"totalt";12828
"1499 Falköping";"totalt";33155
"1715 Kil";"totalt";11962
"1730 Eda";"totalt";8575
"1737 Torsby";"totalt";11719
"1760 Storfors";"totalt";4055
"1761 Hammarö";"totalt";16483
"1762 Munkfors";"totalt";3789
"1763 Forshaga";"totalt";11518
"1764 Grums";"totalt";9016
"1765 Årjäng";"totalt";10011
"1766 Sunne";"totalt";13261
"1780 Karlstad";"totalt";92497
"1781 Kristinehamn";"totalt";24336
"1782 Filipstad";"totalt";10837
"1783 Hagfors";"totalt";11698
"1784 Arvika";"totalt";26082
"1785 Säffle";"totalt";15643
"1814 Lekeberg";"totalt";8116
"1860 Laxå";"totalt";5637
"1861 Hallsberg";"totalt";15954
"1862 Degerfors";"totalt";9665
"1863 Hällefors";"totalt";6983
"1864 Ljusnarsberg";"totalt";4846
"1880 Örebro";"totalt";153367
"1881 Kumla";"totalt";21640
"1882 Askersund";"totalt";11313
"1883 Karlskoga";"totalt";30419
"1884 Nora";"totalt";10737
"1885 Lindesberg";"totalt";23575
"1904 Skinnskatteberg";"totalt";4429
"1907 Surahammar";"totalt";10088
"1960 Kungsör";"totalt";8667
"1961 Hallstahammar";"totalt";16186
"1962 Norberg";"totalt";5795
"1980 Västerås";"totalt";152078
"1981 Sala";"totalt";22816
"1982 Fagersta";"totalt";13464
"1983 Köping";"totalt";26268
"1984 Arboga";"totalt";14138
"2021 Vansbro";"totalt";6807
"2023 Malung-Sälen";"totalt";10106
"2026 Gagnef";"totalt";10271
"2029 Leksand";"totalt";15804
